repo,stars,loc,dbaccesses,smell_count,schemas_count,hash
0xTracker/0x-event-extractor,31,1344,7,0,2,6b30a6453a857d7ca1661393a922005859c5ee8d
17koa/koa-generator-examples,485,553,6,0,1,59de28e6e46b11db8a1face1adc0cde41b83d248
18F/checklistomania,362,1660,27,0,0,98657747c5460c51debb6e396e4ade254e63df53
1956-studio/wechat-ship,13,2609,49,0,11,70a6ce289836c4d0878185a80e35b7e0758b11fa
36node/sketch,17,8099,4,0,1,4116403070b6f8a832c789dab6c213109d5c473d
3drepo/3drepo.io,90,60482,353,0,0,1d55e5977c0732a355b84cbd1d5efbf2926deace
3drepo/3drepobouncer,26,1338,10,0,0,d42c64253e16569fb5c836e0c7d1b62b79795e4f
42sixsolutions/deckster,19,1276,5,0,0,3d71887b9b708c52a57a92f00dedbd038d0a3b74
4minitz/4minitz,162,27802,34,0,0,cc1dfc424fa5df3719df3a1e0f43eb039996bce6
7anshuai/abba,16,8858,41,0,3,791897f9cf8bb1354512dc46f1df7de405b6547d
ASQ-USI/ASQ,27,92594,279,0,25,efda088dcb3fedf66eb571a8a4371be41c61693c
AccessiDys/AccessiDys,12,36346,42,0,8,eefd1385bf09080fc01b8afff3478cdd9c81917c
AnalyticsDojo/AnalyticsDojo,38,531555,11,0,0,06e9d3aa987dfdbaded6d75f19d5bad12111f678
AnuraConfig/anura-server,16,3466,13,0,3,764571e02b2f8fa6b6797d741e14b23aa411ac21
ArbeitBot/ArbeitBot,149,4602,103,0,8,d27667e6b08c69487039d7a6c87da72c29accf72
ArturT/rubygems-tracker,10,1887,9,0,2,a4b69c7d5d66c6b622f78f85dd601626cb5b46a7
Automattic/mongoose,25045,93264,276,0,85,9fbc663b5a24d3741139f8aa991257715559010a
Automattic/monk,1846,1624,2,0,0,5505e62ce616682ea2a6acec0cd9af01afa69069
Azure-Samples/aci-event-driven-worker-queue,28,6888,2,0,0,14b02f31c7c9b38b2b80b983fd79c39dac0eb6f2
Azure-Samples/meanjs,31,9321,35,0,2,04823789d4f7bf2ab7cefb5a1bc951e3fd66e5df
Azure/blackbelt-aks-hackfest,220,658,24,0,6,993d91ad09447867398d791c4ce2715c0df8b739
Azure/build2018-container-demo,12,802,21,0,8,48d586674e41d501791e3e1b7a0b0fa022cf02bb
Azure/kubernetes-hackfest,297,125973,24,0,10,23012d6c823f7e5225a3fe7638c186ad87fac783
BCDevExchange/BCDevExchange-app,24,13966,47,0,5,059b0de8fa74f1b69b60f875d57b42794bee9b8a
BangumiMoe/rin-pr,34,116056,227,0,0,9e12def63fff99bbd97b2385d3dee85acc18b3d0
BatuhanK/BeyinJimnastigi,27,1511,5,0,1,4488391a10400df8496329044f537836168b79f1
BitTigerInst/ElasticSearch,30,1103,6,0,1,b30799edea390a94eea5d3e8761306b4e71ad41b
BitTigerInst/wukong,13,10227,3,0,1,714e36744412fa207e0aec7e9d61a65d5c1f71c5
BlackPearSw/fhirball,27,6248,15,0,1,709ca1824d17a4e32e399dc505702bdf996897b5
BotBuilderCommunity/botbuilder-community-js,104,3427,5,0,0,1ce623ae4ca7a45f9bfab4af578b2498a7a26b8a
Botfuel/botfuel-dialog,101,8518,8,0,0,5a351a0ad01388b5745865d79c89ba8f89dcaf7a
Breeze/breeze.server.node,49,31189,8,0,0,b62e43f195f4a89268f51e13b48b82e802e2b3b8
ButuzGOL/gss,11,4523,7,0,1,8e66991f1833b6c0c5e63b1882c60304fcb1418e
CMU-Robotics-Club/RoboBuggy,24,3076,15,0,4,9465dbfe6afab721145a215b1f5e2934d3a7704f
CampusHacks/Smads,11,505,13,0,1,a13c81dc4c35c0281a6aa9944a3f80a69a480589
Cedric1996C/DCOS-Auth,30,7043,14,0,6,530f29524c03327ea4e2eeec83959e2dd599eccd
ChrisZieba/LogicPull,401,38351,186,0,9,adeecde20fd4320f678274344968b0496959eaea
