project_name,file_path,start_line,start_column,smell_identifier,hash,direct_link,Final value
codefordenver/Comrad,server/v1/controllers/playlists/recentPlays.js,107,25,useRelational,4c114c5b1726263fe8fb3f4617cab8493d9df4b1,server/v1/controllers/playlists/recentPlays.js#L107,FALSE
codefordenver/Comrad,server/v1/controllers/reporting/charting.js,39,3,useRelational,4c114c5b1726263fe8fb3f4617cab8493d9df4b1,server/v1/controllers/reporting/charting.js#L39,FALSE
codefordenver/Comrad,server/v1/controllers/reporting/soundExchangeReport.js,30,3,useRelational,4c114c5b1726263fe8fb3f4617cab8493d9df4b1,server/v1/controllers/reporting/soundExchangeReport.js#L30,FALSE
Requarks/wiki,server/setup.js,305,31,emptyValue,b5b4b0880ae26f4b137242267b6674b51af8688c,server/setup.js#L305,TRUE
Lambda-School-Labs/CS10-restaurant-pos,api/controllers/employees/getAllServers.js,23,3,useRelational,d03dad6c2a6e6d4c86587e389d4e524e6a04cd95,api/controllers/employees/getAllServers.js#L23,FALSE
impronunciable/hackdash,seo.js,85,5,emptyValue,dc5cea041644a0c8504a20863258390e16bda22b,seo.js#L85,TRUE
EasyERP/EasyERP_open_source,handlers/opportunity.js,1953,13,lookupUsage,693c2531b8bcb110c4ab8ef649895a5f47c3aed8,handlers/opportunity.js#L1953,TRUE
EasyERP/EasyERP_open_source,handlers/opportunity.js,2115,21,lookupUsage,693c2531b8bcb110c4ab8ef649895a5f47c3aed8,handlers/opportunity.js#L2115,TRUE
EasyERP/EasyERP_open_source,handlers/opportunity.js,2233,13,lookupUsage,693c2531b8bcb110c4ab8ef649895a5f47c3aed8,handlers/opportunity.js#L2233,TRUE
EasyERP/EasyERP_open_source,handlers/opportunity.js,2310,9,lookupUsage,693c2531b8bcb110c4ab8ef649895a5f47c3aed8,handlers/opportunity.js#L2310,TRUE
EasyERP/EasyERP_open_source,handlers/opportunity.js,2463,9,lookupUsage,693c2531b8bcb110c4ab8ef649895a5f47c3aed8,handlers/opportunity.js#L2463,TRUE
EasyERP/EasyERP_open_source,handlers/contractJobs.js,54,13,useRelational,693c2531b8bcb110c4ab8ef649895a5f47c3aed8,handlers/contractJobs.js#L54,TRUE
EasyERP/EasyERP_open_source,handlers/goodsOutNote.js,319,9,useRelational,693c2531b8bcb110c4ab8ef649895a5f47c3aed8,handlers/goodsOutNote.js#L319,FALSE
EasyERP/EasyERP_open_source,handlers/invoice.js,2301,9,useRelational,693c2531b8bcb110c4ab8ef649895a5f47c3aed8,handlers/invoice.js#L2301,TRUE
EasyERP/EasyERP_open_source,handlers/invoices.js,2915,13,useRelational,693c2531b8bcb110c4ab8ef649895a5f47c3aed8,handlers/invoices.js#L2915,TRUE
EasyERP/EasyERP_open_source,handlers/jobs.js,560,9,useRelational,693c2531b8bcb110c4ab8ef649895a5f47c3aed8,handlers/jobs.js#L560,TRUE
EasyERP/EasyERP_open_source,handlers/jobs.js,1358,13,useRelational,693c2531b8bcb110c4ab8ef649895a5f47c3aed8,handlers/jobs.js#L1358,TRUE
EasyERP/EasyERP_open_source,handlers/jobs.js,1473,13,useRelational,693c2531b8bcb110c4ab8ef649895a5f47c3aed8,handlers/jobs.js#L1473,TRUE
EasyERP/EasyERP_open_source,handlers/jobs.js,1582,9,useRelational,693c2531b8bcb110c4ab8ef649895a5f47c3aed8,handlers/jobs.js#L1582,TRUE
EasyERP/EasyERP_open_source,handlers/jobs.js,1882,21,useRelational,693c2531b8bcb110c4ab8ef649895a5f47c3aed8,handlers/jobs.js#L1882,FALSE
EasyERP/EasyERP_open_source,handlers/journalEntry.js,753,21,useRelational,693c2531b8bcb110c4ab8ef649895a5f47c3aed8,handlers/journalEntry.js#L753,TRUE
