,project_name,file_path,start_line,start_column,smell_identifier
0,codefordenver/Comrad,server/v1/controllers/playlists/recentPlays.js,107,25,useRelational
1,codefordenver/Comrad,server/v1/controllers/reporting/charting.js,39,3,useRelational
2,codefordenver/Comrad,server/v1/controllers/reporting/soundExchangeReport.js,30,3,useRelational
3,Requarks/wiki,server/setup.js,305,31,emptyValue
4,Lambda-School-Labs/CS10-restaurant-pos,api/controllers/employees/getAllServers.js,23,3,useRelational
5,impronunciable/hackdash,seo.js,85,5,emptyValue
6,EasyERP/EasyERP_open_source,handlers/opportunity.js,1953,13,lookupUsage
7,EasyERP/EasyERP_open_source,handlers/opportunity.js,2115,21,lookupUsage
8,EasyERP/EasyERP_open_source,handlers/opportunity.js,2233,13,lookupUsage
9,EasyERP/EasyERP_open_source,handlers/opportunity.js,2310,9,lookupUsage
10,EasyERP/EasyERP_open_source,handlers/opportunity.js,2463,9,lookupUsage
11,EasyERP/EasyERP_open_source,handlers/contractJobs.js,54,13,useRelational
12,EasyERP/EasyERP_open_source,handlers/goodsOutNote.js,319,9,useRelational
13,EasyERP/EasyERP_open_source,handlers/invoice.js,2301,9,useRelational
14,EasyERP/EasyERP_open_source,handlers/invoices.js,2915,13,useRelational
15,EasyERP/EasyERP_open_source,handlers/jobs.js,560,9,useRelational
16,EasyERP/EasyERP_open_source,handlers/jobs.js,1358,13,useRelational
17,EasyERP/EasyERP_open_source,handlers/jobs.js,1473,13,useRelational
18,EasyERP/EasyERP_open_source,handlers/jobs.js,1582,9,useRelational
19,EasyERP/EasyERP_open_source,handlers/jobs.js,1882,21,useRelational
20,EasyERP/EasyERP_open_source,handlers/journalEntry.js,753,21,useRelational
21,EasyERP/EasyERP_open_source,handlers/journalEntry.js,3175,37,useRelational
22,EasyERP/EasyERP_open_source,handlers/journalEntry.js,3554,17,useRelational
23,EasyERP/EasyERP_open_source,handlers/journalEntry.js,5292,21,useRelational
24,EasyERP/EasyERP_open_source,handlers/journalEntry.js,5417,21,useRelational
25,EasyERP/EasyERP_open_source,handlers/journalEntry.js,5543,21,useRelational
26,EasyERP/EasyERP_open_source,handlers/journalEntry.js,5808,17,useRelational
27,EasyERP/EasyERP_open_source,handlers/journalEntry.js,5909,25,useRelational
28,EasyERP/EasyERP_open_source,handlers/journalEntry.js,6078,17,useRelational
29,EasyERP/EasyERP_open_source,handlers/journalEntry.js,6561,13,useRelational
30,EasyERP/EasyERP_open_source,handlers/opportunity.js,246,17,useRelational
31,EasyERP/EasyERP_open_source,handlers/opportunity.js,397,17,useRelational
32,EasyERP/EasyERP_open_source,handlers/payment.js,1376,13,useRelational
33,EasyERP/EasyERP_open_source,handlers/payroll.js,353,9,useRelational
34,EasyERP/EasyERP_open_source,handlers/product.js,1037,13,useRelational
35,EasyERP/EasyERP_open_source,handlers/productOptionsValues.js,91,9,useRelational
36,EasyERP/EasyERP_open_source,handlers/productTypes.js,157,9,useRelational
37,EasyERP/EasyERP_open_source,handlers/revenue.js,89,9,useRelational
38,EasyERP/EasyERP_open_source,handlers/revenue.js,354,9,useRelational
39,EasyERP/EasyERP_open_source,handlers/revenue.js,480,9,useRelational
40,EasyERP/EasyERP_open_source,handlers/revenue.js,891,9,useRelational
41,EasyERP/EasyERP_open_source,handlers/revenue.js,2855,13,useRelational
42,EasyERP/EasyERP_open_source,handlers/revenue.js,3086,13,useRelational
43,EasyERP/EasyERP_open_source,handlers/revenue.js,3697,13,useRelational
44,EasyERP/EasyERP_open_source,handlers/revenue.js,3937,13,useRelational
45,EasyERP/EasyERP_open_source,handlers/wTrack.js,400,13,useRelational
46,EasyERP/EasyERP_open_source,handlers/wTrack.js,741,27,useRelational
47,EasyERP/EasyERP_open_source,handlers/wTrack.js,1659,9,useRelational
48,EasyERP/EasyERP_open_source,handlers/wTrack.js,1883,27,useRelational
49,EasyERP/EasyERP_open_source,handlers/warehouse.js,14,9,useRelational
50,EasyERP/EasyERP_open_source,handlers/warehouse.js,102,9,useRelational
51,EasyERP/EasyERP_open_source,services/followers.js,143,13,useRelational
52,EasyERP/EasyERP_open_source,services/jobs.js,38,13,useRelational
53,EasyERP/EasyERP_open_source,services/products.js,245,13,useRelational
54,EasyERP/EasyERP_open_source,services/products.js,572,13,useRelational
55,voluntarily/vly2,server/api/statistics/statistics.lib.js,9,3,useRelational
56,abcdabcd987/p2dv.in,web/routes/contest.js,178,25,emptyValue
57,XimeraProject/server,map-reduce/progress-reports.js,8,0,useRelational
